order_id,distance_km,delivery_time_min,traffic_level,route_length_km,delivery_mode,weather,order_time,restaurant_zone,customer_zone,Date,Time,Hour,Minute,Zone Relationship
1,7.97,63.8,High,9.75,Bicycle,Clear,01/01/2025 15:29,South,North,01/01/2025,15:29:00,15,29,Cross Zone
2,0.9,7.6,High,1.28,Car,Cloudy,03/01/2025 00:47,West,North,03/01/2025,00:47:00,0,47,Cross Zone
3,11.12,78,Medium,16.65,Bike,Rainy,04/01/2025 17:32,South,Central,04/01/2025,17:32:00,17,32,Cross Zone
4,4.9,24.8,Low,5.25,Scooter,Rainy,01/01/2025 14:12,Central,Central,01/01/2025,14:12:00,14,12,Same Zone
5,10.04,56,High,11.34,Car,Rainy,02/01/2025 16:50,West,North,02/01/2025,16:50:00,16,50,Cross Zone
6,10.96,76.8,High,13.62,Car,Windy,02/01/2025 09:56,West,North,02/01/2025,09:56:00,9,56,Cross Zone
7,9.6,54.4,Low,13.32,Bike,Windy,03/01/2025 00:29,Central,North,03/01/2025,00:29:00,0,29,Cross Zone
8,6.24,52.9,Low,8.41,Bike,Cloudy,02/01/2025 21:36,South,Central,02/01/2025,21:36:00,21,36,Cross Zone
9,9.98,81.4,Medium,14.87,Bicycle,Rainy,01/01/2025 08:19,Central,West,01/01/2025,08:19:00,8,19,Cross Zone
10,2.48,17.1,High,3.38,Car,Windy,01/01/2025 09:28,South,North,01/01/2025,09:28:00,9,28,Cross Zone
11,7.23,47.7,Medium,7.63,Bike,Rainy,03/01/2025 15:24,West,Central,03/01/2025,15:24:00,15,24,Cross Zone
12,6.65,27.8,High,6.69,Bike,Rainy,03/01/2025 06:47,Central,West,03/01/2025,06:47:00,6,47,Cross Zone
13,11.42,83.4,Medium,13.97,Car,Rainy,03/01/2025 05:24,Central,South,03/01/2025,05:24:00,5,24,Cross Zone
14,1.26,9.9,Low,1.55,Bicycle,Windy,03/01/2025 18:37,South,North,03/01/2025,18:37:00,18,37,Cross Zone
15,9.88,56.6,Medium,12.45,Bike,Cloudy,03/01/2025 04:12,North,Central,03/01/2025,04:12:00,4,12,Cross Zone
16,4.69,23.2,Low,4.86,Scooter,Clear,04/01/2025 04:16,North,North,04/01/2025,04:16:00,4,16,Same Zone
17,7.27,34.9,High,8.66,Scooter,Cloudy,03/01/2025 14:38,Central,West,03/01/2025,14:38:00,14,38,Cross Zone
18,10.19,60.2,High,10.24,Car,Windy,03/01/2025 02:11,North,South,03/01/2025,02:11:00,2,11,Cross Zone
19,2.11,9.2,Medium,2.23,Scooter,Rainy,02/01/2025 17:10,Central,North,02/01/2025,17:10:00,17,10,Cross Zone
20,3.12,18,High,3.41,Bicycle,Windy,04/01/2025 08:23,South,Central,04/01/2025,08:23:00,8,23,Cross Zone
21,8.22,50.4,Low,10.42,Bike,Windy,01/01/2025 08:26,East,South,01/01/2025,08:26:00,8,26,Cross Zone
22,8.13,46,High,9.43,Car,Windy,03/01/2025 11:13,Central,Central,03/01/2025,11:13:00,11,13,Same Zone
23,0.54,2.4,Medium,0.58,Scooter,Rainy,02/01/2025 09:43,South,East,02/01/2025,09:43:00,9,43,Cross Zone
24,5.15,33.7,Medium,7.3,Bicycle,Windy,04/01/2025 18:58,South,West,04/01/2025,18:58:00,18,58,Cross Zone
25,0.53,2.9,Low,0.62,Bike,Cloudy,04/01/2025 04:12,West,Central,04/01/2025,04:12:00,4,12,Cross Zone
26,4.23,26.1,Medium,4.97,Car,Windy,02/01/2025 15:05,West,Central,02/01/2025,15:05:00,15,5,Cross Zone
27,8.53,44.4,High,9.26,Bicycle,Cloudy,02/01/2025 08:16,Central,East,02/01/2025,08:16:00,8,16,Cross Zone
28,3.65,21.2,Low,5.2,Bicycle,Windy,01/01/2025 18:14,South,West,01/01/2025,18:14:00,18,14,Cross Zone
29,5.59,38,Medium,7.34,Bike,Clear,04/01/2025 00:07,South,Central,04/01/2025,00:07:00,0,7,Cross Zone
30,2.65,19.3,Medium,2.97,Car,Rainy,04/01/2025 08:38,West,East,04/01/2025,08:38:00,8,38,Cross Zone
31,6.37,28.9,High,7.17,Bike,Rainy,04/01/2025 01:52,South,East,04/01/2025,01:52:00,1,52,Cross Zone
32,3.14,18.8,High,4.33,Scooter,Clear,01/01/2025 08:05,West,South,01/01/2025,08:05:00,8,5,Cross Zone
33,7.31,36.3,Medium,7.88,Bike,Windy,03/01/2025 05:17,Central,North,03/01/2025,05:17:00,5,17,Cross Zone
34,11.99,58.2,Medium,13.31,Bicycle,Cloudy,02/01/2025 17:40,West,South,02/01/2025,17:40:00,17,40,Cross Zone
35,2.65,19.5,Low,2.96,Car,Clear,04/01/2025 07:37,North,Central,04/01/2025,07:37:00,7,37,Cross Zone
36,3.25,21.3,High,3.81,Bike,Cloudy,02/01/2025 04:12,North,North,02/01/2025,04:12:00,4,12,Same Zone
37,2.97,23.1,High,3.43,Scooter,Clear,03/01/2025 12:47,West,Central,03/01/2025,12:47:00,12,47,Cross Zone
38,4.47,25.8,High,5.16,Bike,Cloudy,02/01/2025 02:07,North,East,02/01/2025,02:07:00,2,7,Cross Zone
39,3.24,26,Low,4.16,Bike,Clear,03/01/2025 15:47,West,Central,03/01/2025,15:47:00,15,47,Cross Zone
40,6.75,49.5,Low,7.19,Scooter,Rainy,03/01/2025 03:42,Central,South,03/01/2025,03:42:00,3,42,Cross Zone
